,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
74,10,15,1,11486,1,909086626,False,0.0,157.0,0.0,17.708272599999873,[2]
75,10,15,1,11486,1,909086626,True,0.0,4.0,6.0,0.41247900000007576,[2]
76,10,15,1,11486,2,1866217508,False,0.0,4.0,0.0,0.32164330000023256,[]
77,10,15,1,11486,2,1866217508,True,0.0,4.0,0.0,0.3270497999997133,[]
78,10,15,1,11486,1,1866217508,False,0.0,32.0,0.0,4.085573199999999,[2]
79,10,15,1,11486,1,1866217508,True,0.0,4.0,212.0,9.203373800000008,[2]
80,10,15,1,1083,2,651105938,False,0.0,4.0,0.0,0.5754467000001569,[]
81,10,15,1,1083,2,651105938,True,0.0,4.0,0.0,0.3220252999999502,[]
82,10,15,1,1083,1,651105938,False,0.0,18.0,0.0,2.2968078999997488,[2]
83,10,15,1,1083,1,651105938,True,0.0,4.0,18.0,0.8287741999997706,[2]
84,10,15,1,1083,2,266112162,False,0.0,4.0,0.0,0.3081328000002941,[]
85,10,15,1,1083,2,266112162,True,0.0,4.0,0.0,0.3029642999999851,[]
86,10,15,1,1083,1,266112162,False,0.0,19.0,0.0,2.648467900000014,[2]
87,10,15,1,1083,1,266112162,True,0.0,4.0,7.0,0.4298382000001766,[2]
88,10,15,1,1083,2,1693137748,False,0.0,4.0,0.0,0.31356189999996786,[]
89,10,15,1,1083,2,1693137748,True,0.0,4.0,0.0,0.3090707999999722,[]
90,10,15,1,1083,1,1693137748,False,0.0,19.0,0.0,2.0662508999998863,[2]
91,10,15,1,1083,1,1693137748,True,0.0,4.0,412.0,14.875497699999869,[2]
92,10,15,1,1083,2,972122757,False,0.0,4.0,0.0,0.3288126000002194,[]
93,10,15,1,1083,2,972122757,True,0.0,4.0,0.0,0.31813099999999395,[]
94,10,15,1,1083,1,972122757,False,2.37,270.0,0.0,17.44887259999996,[2]
95,10,15,1,1083,1,972122757,True,0.0,4.0,450.0,16.807003299999906,[2]
96,10,15,1,1083,2,708093469,False,0.0,4.0,0.0,0.298988499999723,[]
97,10,15,1,1083,2,708093469,True,0.0,4.0,0.0,0.3124794999998812,[]
98,10,15,1,1083,1,708093469,False,0.01,19.0,0.0,2.5003702999997586,[2]
99,10,15,1,1083,1,708093469,True,0.0,4.0,214.0,7.736084099999971,[2]
100,10,15,1,1083,2,1755663524,False,0.0,4.0,0.0,0.32373469999993176,[]
101,10,15,1,1083,2,1755663524,True,0.0,4.0,0.0,0.3203800000001138,[]
102,10,15,1,1083,1,1755663524,False,1.0,142.0,0.0,15.434528600000249,[2]
103,10,15,1,1083,1,1755663524,True,0.0,4.0,804.0,28.66113150000001,[2]
104,10,15,1,1083,2,1155653965,False,0.0,4.0,0.0,0.31353230000013355,[]
105,10,15,1,1083,2,1155653965,True,0.0,4.0,0.0,0.31107399999973495,[]
106,10,15,1,1083,1,1155653965,False,0.0,13.0,0.0,1.3899199000002227,[2]
107,10,15,1,1083,1,1155653965,True,0.0,4.0,7.0,0.4192127999999684,[2]
108,10,15,1,1083,2,1799343698,False,0.0,4.0,0.0,0.30482160000019576,[]
109,10,15,1,1083,2,1799343698,True,0.0,4.0,0.0,0.31393149999985326,[]
110,10,15,1,1083,1,1799343698,False,1.52,30.0,0.0,3.696164299999964,[2]
111,10,15,1,1083,1,1799343698,True,9999.0,,,,[2]
112,10,15,1,1083,2,1618157079,False,0.0,4.0,0.0,0.305249399999866,[]
113,10,15,1,1083,2,1618157079,True,0.0,4.0,0.0,0.3115013000001454,[]
114,10,15,1,1083,1,1618157079,False,0.0,33.0,0.0,3.8566568999999618,[2]
115,10,15,1,1083,1,1618157079,True,0.0,4.0,608.0,21.94736419999981,[2]
116,10,15,1,1083,2,1858836762,False,0.0,4.0,0.0,0.30644389999997657,[]
117,10,15,1,1083,2,1858836762,True,0.0,4.0,0.0,0.30608970000002955,[]
118,10,15,1,1083,1,1858836762,False,0.0,13.0,0.0,1.523121799999899,[2]
119,10,15,1,1083,1,1858836762,True,0.0,4.0,7.0,0.4250345999998899,[2]
120,10,15,1,4930,2,563313609,False,0.02,116.0,0.0,16.263077600000088,"[3, 3]"
121,10,15,1,4930,2,563313609,True,0.0,4.0,47.0,2.727000599999883,"[3, 3]"
122,10,15,1,4930,1,563313609,False,0.04,114.0,0.0,14.688951799999813,"[2, 3, 2]"
123,10,15,1,4930,1,563313609,True,0.0,4.0,528.0,20.753488500000003,"[2, 3, 2]"
124,10,15,1,4930,2,1078591222,False,0.0,39.0,0.0,5.6021881000001486,"[3, 3]"
125,10,15,1,4930,2,1078591222,True,0.0,4.0,36.0,1.9852328000001762,"[3, 3]"
126,10,15,1,4930,1,1078591222,False,2.45,269.0,0.0,25.54736159999993,"[2, 3, 2]"
127,10,15,1,4930,1,1078591222,True,0.0,4.0,864.0,33.438302499999736,"[2, 3, 2]"
128,10,15,1,4930,2,436916802,False,1.65,2.0,0.0,0.17767559999992955,"[3, 3]"
129,10,15,1,4930,2,436916802,True,9999.0,,,,"[3, 3]"
130,10,15,1,4930,1,436916802,False,0.0,77.0,0.0,8.116789999999583,"[2, 3, 2]"
131,10,15,1,4930,1,436916802,True,9999.0,,,,"[2, 3, 2]"
132,10,15,1,4930,2,1941050026,False,0.25,382.0,0.0,33.722320800000034,"[3, 3]"
133,10,15,1,4930,2,1941050026,True,0.0,4.0,425.0,19.893585899999835,"[3, 3]"
134,10,15,1,4930,1,1941050026,False,1.77,149.0,0.0,17.010556500000348,"[2, 3, 2]"
135,10,15,1,4930,1,1941050026,True,9999.0,,,,"[2, 3, 2]"
136,10,15,1,4930,2,865678546,False,0.34,87.0,0.0,11.645872799999779,"[3, 3]"
137,10,15,1,4930,2,865678546,True,9999.0,,,,"[3, 3]"
138,10,15,1,4930,1,865678546,False,3.0,234.0,0.0,25.309578200000033,"[2, 3, 2]"
139,10,15,1,4930,1,865678546,True,0.0,4.0,882.0,34.98601420000023,"[2, 3, 2]"
140,10,15,1,4930,2,823155374,False,3.34,145.0,0.0,19.620342300000175,"[3, 3]"
141,10,15,1,4930,2,823155374,True,9999.0,,,,"[3, 3]"
142,10,15,1,4930,1,823155374,False,1.0,156.0,0.0,16.397387100000287,"[2, 3, 2]"
