,m,ncoeff,n,sparsity,seed,maxscc,guess,timeMINFAS,MINFAS,timetearpart,mintearpart,timetearfull,mintearfull,timescc,minscc,density
339,20,0.1,22,1,4,0.0,9.0,0.0,0.0,0.0147247314453125,0.0,0.020189285278320312,0.0,0.005016326904296875,0.0,2.15
340,20,0.1,22,1,5,0.0,5.0,0.0,0.0,0.0,0.0,0.008020401000976562,0.0,0.0025157928466796875,0.0,1.75
341,20,0.1,22,1,6,0.0,6.0,0.0010013580322265625,0.0,0.01599884033203125,0.0,0.0149993896484375,0.0,0.0010013580322265625,0.0,2.05
342,20,0.1,22,1,7,0.0,8.0,0.001033782958984375,0.0,0.014484405517578125,0.0,0.017574310302734375,0.0,0.001110076904296875,0.0,2.35
343,20,0.1,22,1,8,0.0,6.0,0.0,0.0,0.0034046173095703125,0.0,0.0030307769775390625,0.0,0.0010051727294921875,0.0,1.95
344,20,0.1,22,1,9,2.0,8.0,0.0037937164306640625,1.0,0.014795303344726562,1.0,0.018169403076171875,1.0,0.0,2.0,2.2
345,20,0.2,24,1,0,0.0,7.0,0.0,0.0,0.018228530883789062,0.0,0.0119781494140625,0.0,0.00099945068359375,0.0,2.05
346,20,0.2,24,1,1,2.0,6.0,0.00653839111328125,2.0,0.02301025390625,2.0,0.01955413818359375,0.0,0.00415802001953125,0.0,2.05
347,20,0.2,24,1,2,0.0,4.0,0.0,0.0,0.0048999786376953125,0.0,0.0061435699462890625,0.0,0.0019989013671875,0.0,1.85
348,20,0.2,24,1,3,0.0,6.0,0.0,0.0,0.007999420166015625,0.0,0.0040111541748046875,0.0,0.0009975433349609375,0.0,2.0
349,20,0.2,24,1,4,3.0,8.0,0.0039997100830078125,2.0,0.01200103759765625,1.0,0.013010025024414062,0.0,0.0030002593994140625,0.0,2.2
350,20,0.2,24,1,5,0.0,5.0,0.00099945068359375,0.0,0.0039997100830078125,0.0,0.0039958953857421875,0.0,0.00099945068359375,0.0,1.8
351,20,0.2,24,1,6,3.0,7.0,0.0039997100830078125,1.0,0.014165878295898438,1.0,0.012029647827148438,1.0,0.0029926300048828125,3.0,2.15
352,20,0.2,24,1,7,4.0,9.0,0.0075435638427734375,2.0,0.026882171630859375,1.0,0.017993927001953125,0.0,0.003002166748046875,0.0,2.35
353,20,0.2,24,1,8,0.0,4.0,0.00099945068359375,0.0,0.0049114227294921875,0.0,0.015035629272460938,0.0,0.004009246826171875,0.0,2.0
354,20,0.2,24,1,9,3.0,9.0,0.00601959228515625,2.0,0.03134918212890625,2.0,0.026826858520507812,1.0,0.0101165771484375,2.0,2.4
355,20,0.5,30,1,0,0.0,4.0,0.0,0.0,0.004657745361328125,0.0,0.0012226104736328125,0.0,0.0,0.0,2.1
356,20,0.5,30,1,1,0.0,6.0,0.0,0.0,0.0050067901611328125,0.0,0.00251007080078125,0.0,0.0,0.0,2.3
357,20,0.5,30,1,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0015964508056640625,0.0,0.0,0.0,1.95
358,20,0.5,30,1,3,0.0,4.0,0.0,0.0,0.0037937164306640625,0.0,0.0,0.0,0.0,0.0,2.2
359,20,0.5,30,1,4,0.0,5.0,0.0,0.0,0.010606765747070312,0.0,0.00557708740234375,0.0,0.0010013580322265625,0.0,2.35
360,20,0.5,30,1,5,0.0,3.0,0.0,0.0,0.0060749053955078125,0.0,0.005462646484375,0.0,0.0,0.0,2.0
361,20,0.5,30,1,6,0.0,5.0,0.0,0.0,0.00998687744140625,0.0,0.0096588134765625,0.0,0.008832931518554688,0.0,2.25
362,20,0.5,30,1,7,0.0,6.0,0.0,0.0,0.0,0.0,0.0045528411865234375,0.0,0.0,0.0,2.35
363,20,0.5,30,1,8,0.0,3.0,0.0,0.0,0.0025081634521484375,0.0,0.0,0.0,0.0,0.0,2.05
364,20,0.5,30,1,9,2.0,6.0,0.0050411224365234375,1.0,0.00968170166015625,1.0,0.012340545654296875,0.0,0.0,0.0,2.3
365,30,0.1,33,1,0,0.0,10.0,0.0,0.0,0.005023956298828125,0.0,0.0056476593017578125,0.0,0.00504302978515625,0.0,1.7333333333333334
366,30,0.1,33,1,1,0.0,8.0,0.0040111541748046875,0.0,0.0067291259765625,0.0,0.035152435302734375,0.0,0.004009246826171875,0.0,2.2333333333333334
367,30,0.1,33,1,2,0.0,8.0,0.0,0.0,0.029886245727539062,0.0,0.019908905029296875,0.0,0.0,0.0,1.9666666666666666
368,30,0.1,33,1,3,2.0,9.0,0.0,1.0,0.029754638671875,1.0,0.023630142211914062,0.0,0.0051937103271484375,0.0,1.9666666666666666
369,30,0.1,33,1,4,3.0,14.0,0.005138397216796875,1.0,0.015689849853515625,1.0,0.01158905029296875,1.0,0.010156631469726562,3.0,2.066666666666667
370,30,0.1,33,1,5,2.0,9.0,0.0050067901611328125,1.0,0.010015487670898438,1.0,0.009126663208007812,1.0,0.0040111541748046875,2.0,1.9
371,30,0.1,33,1,6,2.0,8.0,0.0072803497314453125,2.0,0.024801254272460938,2.0,0.025112152099609375,0.0,0.0051097869873046875,0.0,2.1
372,30,0.1,33,1,7,2.0,10.0,0.010168075561523438,1.0,0.04984092712402344,1.0,0.029247283935546875,1.0,0.005008697509765625,2.0,2.2666666666666666
373,30,0.1,33,1,8,0.0,7.0,0.0,0.0,0.0051136016845703125,0.0,0.0066127777099609375,0.0,0.005340576171875,0.0,1.9333333333333333
374,30,0.1,33,1,9,5.0,14.0,0.0050106048583984375,2.0,0.027904510498046875,1.0,0.024494171142578125,1.0,0.010423660278320312,2.0,2.1666666666666665
375,30,0.2,36,1,0,0.0,5.0,0.001003265380859375,0.0,0.004520416259765625,0.0,0.006908416748046875,0.0,0.0019969940185546875,0.0,1.8333333333333333
376,30,0.2,36,1,1,2.0,10.0,0.0069713592529296875,1.0,0.028535842895507812,1.0,0.028141021728515625,0.0,0.0059986114501953125,0.0,2.4
377,30,0.2,36,1,2,0.0,5.0,0.0,0.0,0.0,0.0,0.0046291351318359375,0.0,0.0,0.0,1.8666666666666667
378,30,0.2,36,1,3,3.0,10.0,0.0050106048583984375,1.0,0.010187149047851562,1.0,0.010118484497070312,0.0,0.0,0.0,2.066666666666667
