,m,ncoeff,n,sparsity,seed,maxscc,minscc,time
90,20,0.1,22,0.5,0,4,1.0,0.0239124298095703
91,20,0.1,22,0.5,1,0,0.0,0.0029983520507812
92,20,0.1,22,0.5,2,2,2.0,0.0072364807128906
93,20,0.1,22,0.5,3,0,0.0,0.0058841705322265
94,20,0.1,22,0.5,4,3,3.0,0.0097885131835937
95,20,0.1,22,0.5,5,0,0.0,0.0038337707519531
96,20,0.1,22,0.5,6,3,3.0,0.0161323547363281
97,20,0.1,22,0.5,7,0,0.0,0.0027942657470703
98,20,0.1,22,0.5,8,0,0.0,0.0012245178222656
99,20,0.1,22,0.5,9,5,4.0,0.0136928558349609
100,20,0.1,22,1.0,0,10,8.0,0.0438671112060546
101,20,0.1,22,1.0,1,15,10.0,0.1883735656738281
102,20,0.1,22,1.0,2,9,5.0,0.0276298522949218
103,20,0.1,22,1.0,3,15,11.0,0.1064643859863281
104,20,0.1,22,1.0,4,13,4.0,0.0313320159912109
105,20,0.1,22,1.0,5,9,6.0,0.0513267517089843
106,20,0.1,22,1.0,6,17,6.0,0.0846824645996093
107,20,0.1,22,1.0,7,18,14.0,0.2453155517578125
108,20,0.1,22,1.0,8,2,1.0,0.0053081512451171
109,20,0.1,22,1.0,9,18,14.0,4.158163070678711
110,20,0.1,22,1.5,0,19,16.0,1.0323200225830078
111,20,0.1,22,1.5,1,19,15.0,7.251113891601562
112,20,0.1,22,1.5,2,16,7.0,0.1081886291503906
113,20,0.1,22,1.5,3,15,13.0,0.3976478576660156
114,20,0.1,22,1.5,4,18,12.0,1.3521137237548828
115,20,0.1,22,1.5,5,15,12.0,3.297035217285156
116,20,0.1,22,1.5,6,19,16.0,24.717788696289062
117,20,0.1,22,1.5,7,17,999.0,116.04521942138672
118,20,0.1,22,1.5,8,18,16.0,3.4951133728027344
119,20,0.1,22,1.5,9,17,17.0,12.699045181274414
120,20,0.2,24,0.5,0,0,2.0,0.0
121,20,0.2,24,0.5,1,0,0.0,0.0157051086425781
122,20,0.2,24,0.5,2,0,0.0,0.0
123,20,0.2,24,0.5,3,4,3.0,0.0135116577148437
124,20,0.2,24,0.5,4,0,0.0,0.0157299041748046
125,20,0.2,24,0.5,5,4,4.0,0.0
126,20,0.2,24,0.5,6,0,0.0,0.0
127,20,0.2,24,0.5,7,4,2.0,0.0156059265136718
128,20,0.2,24,0.5,8,5,0.0,0.0
129,20,0.2,24,0.5,9,0,0.0,0.0
130,20,0.2,24,1.0,0,4,4.0,0.0240287780761718
131,20,0.2,24,1.0,1,13,7.0,0.1881370544433593
132,20,0.2,24,1.0,2,7,0.0,0.0
133,20,0.2,24,1.0,3,11,5.0,0.031259536743164
134,20,0.2,24,1.0,4,11,5.0,0.2433147430419922
135,20,0.2,24,1.0,5,10,4.0,0.0477828979492187
136,20,0.2,24,1.0,6,14,6.0,0.1171512603759765
137,20,0.2,24,1.0,7,12,9.0,0.5010051727294922
138,20,0.2,24,1.0,8,12,4.0,0.017822265625
139,20,0.2,24,1.0,9,15,7.0,0.5014877319335938
140,20,0.2,24,1.5,0,17,10.0,2.264266967773437
141,20,0.2,24,1.5,1,19,12.0,73.8467960357666
142,20,0.2,24,1.5,2,12,2.0,0.0798320770263671
143,20,0.2,24,1.5,3,12,8.0,0.9478778839111328
144,20,0.2,24,1.5,4,18,11.0,16.074953079223633
145,20,0.2,24,1.5,5,17,13.0,6.595552444458008
146,20,0.2,24,1.5,6,18,9.0,0.962444305419922
147,20,0.2,24,1.5,7,20,13.0,2.129356384277344
148,20,0.2,24,1.5,8,17,12.0,3.1208572387695312
149,20,0.2,24,1.5,9,16,14.0,28.096773147583008
150,20,0.5,30,0.5,0,0,0.0,0.0
151,20,0.5,30,0.5,1,3,0.0,0.0109310150146484
152,20,0.5,30,0.5,2,0,0.0,0.0019989013671875
153,20,0.5,30,0.5,3,0,0.0,0.0078639984130859
154,20,0.5,30,0.5,4,0,0.0,0.0018577575683593
155,20,0.5,30,0.5,5,2,1.0,0.0091571807861328
156,20,0.5,30,0.5,6,2,2.0,0.0163421630859375
157,20,0.5,30,0.5,7,6,0.0,0.0029621124267578
158,20,0.5,30,0.5,8,0,0.0,0.0050067901611328
159,20,0.5,30,0.5,9,0,0.0,0.0162849426269531
160,20,0.5,30,1.0,0,4,0.0,0.0100002288818359
161,20,0.5,30,1.0,1,4,1.0,0.0269031524658203
162,20,0.5,30,1.0,2,5,2.0,0.0305957794189453
163,20,0.5,30,1.0,3,6,2.0,0.0433692932128906
164,20,0.5,30,1.0,4,4,1.0,0.0519847869873046
165,20,0.5,30,1.0,5,9,2.0,0.013916015625
166,20,0.5,30,1.0,6,8,2.0,0.0445880889892578
167,20,0.5,30,1.0,7,15,3.0,0.1674308776855468
168,20,0.5,30,1.0,8,2,1.0,0.0313587188720703
169,20,0.5,30,1.0,9,15,6.0,0.3899574279785156
170,20,0.5,30,1.5,0,18,4.0,0.2004585266113281
171,20,0.5,30,1.5,1,17,5.0,0.9101791381835938
172,20,0.5,30,1.5,2,6,3.0,0.0858135223388671
173,20,0.5,30,1.5,3,13,0.0,0.0397243499755859
174,20,0.5,30,1.5,4,16,7.0,5.598913192749023
175,20,0.5,30,1.5,5,18,6.0,7.064945220947266
176,20,0.5,30,1.5,6,17,4.0,1.322223663330078
177,20,0.5,30,1.5,7,18,9.0,10.92030906677246
178,20,0.5,30,1.5,8,13,2.0,1.6854782104492188
179,20,0.5,30,1.5,9,17,8.0,27.051485061645508
180,30,0.1,33,0.5,0,0,0.0,0.017465591430664
181,30,0.1,33,0.5,1,7,5.0,0.0320262908935546
182,30,0.1,33,0.5,2,8,4.0,0.0158100128173828
183,30,0.1,33,0.5,3,4,4.0,0.0194931030273437
184,30,0.1,33,0.5,4,4,4.0,0.0440254211425781
185,30,0.1,33,0.5,5,2,2.0,0.0221614837646484
186,30,0.1,33,0.5,6,3,3.0,0.0234489440917968
187,30,0.1,33,0.5,7,9,3.0,0.0771160125732421
188,30,0.1,33,0.5,8,2,1.0,0.0141582489013671
189,30,0.1,33,0.5,9,6,4.0,0.0250492095947265
190,30,0.1,33,1.0,0,24,13.0,0.129159927368164
191,30,0.1,33,1.0,1,22,15.0,0.1417293548583984
192,30,0.1,33,1.0,2,18,11.0,0.0759487152099609
193,30,0.1,33,1.0,3,22,15.0,0.1456451416015625
194,30,0.1,33,1.0,4,23,20.0,0.8123493194580078
195,30,0.1,33,1.0,5,9,4.0,0.0426387786865234
196,30,0.1,33,1.0,6,25,14.0,1.0186786651611328
197,30,0.1,33,1.0,7,24,13.0,0.5392189025878906
198,30,0.1,33,1.0,8,13,10.0,0.4239940643310547
199,30,0.1,33,1.0,9,20,11.0,3.461725234985352
200,30,0.1,33,1.5,0,30,23.0,42.53120803833008
201,30,0.1,33,1.5,1,23,19.0,17.47315788269043
202,30,0.1,33,1.5,2,26,19.0,11.189401626586914
203,30,0.1,33,1.5,3,23,19.0,8.873981475830078
204,30,0.1,33,1.5,4,23,19.0,5.184246063232422
205,30,0.1,33,1.5,5,24,18.0,25.0928955078125
206,30,0.1,33,1.5,6,26,19.0,21.026227951049805
207,30,0.1,33,1.5,7,26,20.0,27.076663970947266
208,30,0.1,33,1.5,8,20,17.0,21.79547119140625
209,30,0.1,33,1.5,9,25,18.0,34.87823295593262
210,30,0.2,36,0.5,0,8,0.0,0.0208263397216796
211,30,0.2,36,0.5,1,0,0.0,0.0501518249511718
212,30,0.2,36,0.5,2,0,0.0,0.012765884399414
213,30,0.2,36,0.5,3,0,0.0,0.0015583038330078
214,30,0.2,36,0.5,4,4,2.0,0.0332908630371093
215,30,0.2,36,0.5,5,2,0.0,0.021005630493164
216,30,0.2,36,0.5,6,0,0.0,0.0599803924560546
217,30,0.2,36,0.5,7,3,0.0,0.0098743438720703
218,30,0.2,36,0.5,8,4,0.0,0.0070953369140625
219,30,0.2,36,0.5,9,9,0.0,0.01678466796875
220,30,0.2,36,1.0,0,11,5.0,0.1657180786132812
221,30,0.2,36,1.0,1,23,5.0,0.5371303558349609
222,30,0.2,36,1.0,2,13,3.0,0.1652145385742187
223,30,0.2,36,1.0,3,20,3.0,0.2131481170654297
224,30,0.2,36,1.0,4,19,4.0,0.6001834869384766
225,30,0.2,36,1.0,5,20,6.0,0.153533935546875
226,30,0.2,36,1.0,6,8,9.0,0.4716701507568359
227,30,0.2,36,1.0,7,21,8.0,0.9544887542724608
228,30,0.2,36,1.0,8,16,8.0,0.340402603149414
229,30,0.2,36,1.0,9,23,8.0,0.4075069427490234
230,30,0.2,36,1.5,0,18,8.0,1.6062088012695312
231,30,0.2,36,1.5,1,26,999.0,100.177095413208
232,30,0.2,36,1.5,2,25,13.0,3.265413284301758
233,30,0.2,36,1.5,3,19,15.0,1.6224079132080078
234,30,0.2,36,1.5,4,24,14.0,6.801015853881836
235,30,0.2,36,1.5,5,23,11.0,7.118780136108398
236,30,0.2,36,1.5,6,21,12.0,1.875894546508789
237,30,0.2,36,1.5,7,28,15.0,34.900630950927734
238,30,0.2,36,1.5,8,26,11.0,13.932209014892578
239,30,0.2,36,1.5,9,23,16.0,4.769245147705078
240,30,0.5,45,0.5,0,0,0.0,0.0210456848144531
241,30,0.5,45,0.5,1,2,0.0,0.016571044921875
242,30,0.5,45,0.5,2,0,0.0,0.0097904205322265
243,30,0.5,45,0.5,3,2,1.0,0.0591011047363281
244,30,0.5,45,0.5,4,4,0.0,0.0158748626708984
245,30,0.5,45,0.5,5,0,0.0,0.0070972442626953
246,30,0.5,45,0.5,6,2,0.0,0.0058574676513671
247,30,0.5,45,0.5,7,5,2.0,0.057199478149414
248,30,0.5,45,0.5,8,3,0.0,0.0077362060546875
249,30,0.5,45,0.5,9,5,1.0,0.0528240203857421
250,30,0.5,45,1.0,0,7,0.0,0.0083694458007812
251,30,0.5,45,1.0,1,10,3.0,0.1231365203857421
252,30,0.5,45,1.0,2,0,0.0,0.0049324035644531
253,30,0.5,45,1.0,3,13,2.0,0.1321544647216797
254,30,0.5,45,1.0,4,18,3.0,0.3308753967285156
255,30,0.5,45,1.0,5,8,2.0,0.0709915161132812
256,30,0.5,45,1.0,6,9,2.0,0.0917167663574218
257,30,0.5,45,1.0,7,20,3.0,0.8002815246582031
258,30,0.5,45,1.0,8,17,2.0,0.3736190795898437
259,30,0.5,45,1.0,9,11,3.0,0.2606658935546875
260,30,0.5,45,1.5,0,25,0.0,0.172555923461914
261,30,0.5,45,1.5,1,29,8.0,3.597131729125977
262,30,0.5,45,1.5,2,16,4.0,1.4230098724365234
263,30,0.5,45,1.5,3,21,5.0,1.615997314453125
264,30,0.5,45,1.5,4,17,5.0,2.614933013916016
265,30,0.5,45,1.5,5,28,7.0,5.6270904541015625
266,30,0.5,45,1.5,6,23,5.0,1.615032196044922
267,30,0.5,45,1.5,7,25,999.0,100.02435684204102
268,30,0.5,45,1.5,8,27,2.0,0.4843177795410156
269,30,0.5,45,1.5,9,24,999.0,100.04032325744627
270,15,0.1,16,0.5,0,3,3.0,0.03401947021484375
271,15,0.1,16,0.5,1,3,0.0,0.016553878784179688
272,15,0.1,16,0.5,2,0,1.0,0.022230148315429688
273,15,0.1,16,0.5,3,4,4.0,0.017816543579101562
274,15,0.1,16,0.5,4,0,0.0,0.00385284423828125
275,15,0.1,16,0.5,5,2,2.0,0.012319564819335938
276,15,0.1,16,0.5,6,2,0.0,0.0039806365966796875
277,15,0.1,16,0.5,7,4,4.0,0.01810455322265625
278,15,0.1,16,0.5,8,0,0.0,0.00218963623046875
279,15,0.1,16,0.5,9,4,3.0,0.019521713256835938
280,15,0.1,16,1.0,0,2,4.0,0.05133247375488281
281,15,0.1,16,1.0,1,12,7.0,0.1624774932861328
282,15,0.1,16,1.0,2,3,3.0,0.04636955261230469
283,15,0.1,16,1.0,3,11,7.0,0.10704612731933594
284,15,0.1,16,1.0,4,8,7.0,0.11722755432128906
285,15,0.1,16,1.0,5,13,8.0,0.13635826110839844
286,15,0.1,16,1.0,6,0,2.0,0.04156303405761719
287,15,0.1,16,1.0,7,13,12.0,0.7913227081298828
288,15,0.1,16,1.0,8,5,5.0,0.08790969848632812
289,15,0.1,16,1.0,9,2,10.0,0.08077812194824219
290,15,0.1,16,1.5,0,14,6.0,0.1496734619140625
291,15,0.1,16,1.5,1,11,10.0,0.7362747192382812
292,15,0.1,16,1.5,2,13,10.0,0.343597412109375
293,15,0.1,16,1.5,3,13,11.0,0.7372093200683594
294,15,0.1,16,1.5,4,13,12.0,1.335306167602539
295,15,0.1,16,1.5,5,13,12.0,0.8054943084716797
296,15,0.1,16,1.5,6,15,12.0,0.6901035308837891
297,15,0.1,16,1.5,7,15,12.0,1.296010971069336
298,15,0.1,16,1.5,8,12,10.0,0.6294746398925781
299,15,0.1,16,1.5,9,15,14.0,6.375514984130859
300,15,0.2,18,0.5,0,0,0.0,0.0022182464599609375
301,15,0.2,18,0.5,1,0,0.0,0.00522613525390625
302,15,0.2,18,0.5,2,0,0.0,0.01580810546875
303,15,0.2,18,0.5,3,0,0.0,0.0035152435302734375
304,15,0.2,18,0.5,4,0,0.0,0.0057048797607421875
305,15,0.2,18,0.5,5,0,0.0,0.0047607421875
306,15,0.2,18,0.5,6,0,0.0,0.0068187713623046875
307,15,0.2,18,0.5,7,4,2.0,0.01548004150390625
308,15,0.2,18,0.5,8,0,0.0,0.0020046234130859375
309,15,0.2,18,0.5,9,2,0.0,0.006092071533203125
310,15,0.2,18,1.0,0,11,5.0,0.0428314208984375
311,15,0.2,18,1.0,1,11,4.0,0.1238555908203125
312,15,0.2,18,1.0,2,3,2.0,0.014169692993164062
313,15,0.2,18,1.0,3,11,4.0,0.160400390625
314,15,0.2,18,1.0,4,3,2.0,0.02696990966796875
315,15,0.2,18,1.0,5,2,3.0,0.016887664794921875
316,15,0.2,18,1.0,6,12,6.0,0.18210983276367188
317,15,0.2,18,1.0,7,10,8.0,1.9381656646728516
318,15,0.2,18,1.0,8,4,7.0,0.1580791473388672
319,15,0.2,18,1.0,9,15,5.0,0.12387847900390625
320,15,0.2,18,1.5,0,8,6.0,0.8351593017578125
321,15,0.2,18,1.5,1,14,10.0,1.2452926635742188
322,15,0.2,18,1.5,2,11,5.0,0.5366268157958984
323,15,0.2,18,1.5,3,13,10.0,1.6367683410644531
324,15,0.2,18,1.5,4,14,11.0,1.3190326690673828
325,15,0.2,18,1.5,5,13,10.0,0.33526611328125
326,15,0.2,18,1.5,6,15,10.0,0.8548736572265625
327,15,0.2,18,1.5,7,15,12.0,1.9270038604736328
328,15,0.2,18,1.5,8,7,5.0,0.44098854064941406
329,15,0.2,18,1.5,9,15,12.0,2.6515579223632812
330,15,0.5,22,0.5,0,2,0.0,0.013576507568359375
331,15,0.5,22,0.5,1,0,0.0,0.0061473846435546875
332,15,0.5,22,0.5,2,0,0.0,0.0004673004150390625
333,15,0.5,22,0.5,3,2,0.0,0.016223907470703125
334,15,0.5,22,0.5,4,0,0.0,0.0023784637451171875
335,15,0.5,22,0.5,5,0,0.0,0.00431060791015625
336,15,0.5,22,0.5,6,0,0.0,0.0041904449462890625
337,15,0.5,22,0.5,7,2,0.0,0.005924224853515625
338,15,0.5,22,0.5,8,0,0.0,0.0071773529052734375
339,15,0.5,22,0.5,9,2,0.0,0.0049152374267578125
340,15,0.5,22,1.0,0,2,0.0,0.011966705322265625
341,15,0.5,22,1.0,1,2,2.0,0.01958465576171875
342,15,0.5,22,1.0,2,7,0.0,0.00605010986328125
343,15,0.5,22,1.0,3,0,2.0,0.03714561462402344
344,15,0.5,22,1.0,4,3,1.0,0.022603988647460938
345,15,0.5,22,1.0,5,14,0.0,0.0048313140869140625
346,15,0.5,22,1.0,6,11,3.0,0.07695198059082031
347,15,0.5,22,1.0,7,12,0.0,0.015031814575195312
348,15,0.5,22,1.0,8,6,1.0,0.0193939208984375
349,15,0.5,22,1.0,9,12,4.0,0.40145111083984375
350,15,0.5,22,1.5,0,10,4.0,0.0951385498046875
351,15,0.5,22,1.5,1,12,5.0,0.8865222930908203
352,15,0.5,22,1.5,2,7,3.0,0.04985809326171875
353,15,0.5,22,1.5,3,9,4.0,0.7212562561035156
354,15,0.5,22,1.5,4,11,6.0,1.6346626281738281
355,15,0.5,22,1.5,5,10,4.0,0.6833934783935547
356,15,0.5,22,1.5,6,15,5.0,1.845977783203125
357,15,0.5,22,1.5,7,13,3.0,0.6863174438476562
358,15,0.5,22,1.5,8,9,2.0,0.13413619995117188
359,15,0.5,22,1.5,9,15,999.0,100.02557945251465
360,25,0.1,27,0.5,0,0,0.0,0.0043354034423828125
361,25,0.1,27,0.5,1,4,4.0,0.04850959777832031
362,25,0.1,27,0.5,2,3,4.0,0.024717330932617188
363,25,0.1,27,0.5,3,0,0.0,0.013895034790039062
364,25,0.1,27,0.5,4,0,0.0,0.00652313232421875
365,25,0.1,27,0.5,5,2,3.0,0.04467964172363281
366,25,0.1,27,0.5,6,4,4.0,0.044544219970703125
367,25,0.1,27,0.5,7,6,6.0,0.032917022705078125
368,25,0.1,27,0.5,8,0,0.0,0.00384521484375
369,25,0.1,27,0.5,9,5,3.0,0.06012725830078125
370,25,0.1,27,1.0,0,13,7.0,0.6204719543457031
371,25,0.1,27,1.0,1,16,5.0,0.4462318420410156
372,25,0.1,27,1.0,2,6,8.0,0.11594009399414062
373,25,0.1,27,1.0,3,11,16.0,0.9404468536376953
374,25,0.1,27,1.0,4,11,10.0,0.2305774688720703
375,25,0.1,27,1.0,5,13,8.0,0.11204338073730469
376,25,0.1,27,1.0,6,24,12.0,0.33337974548339844
377,25,0.1,27,1.0,7,19,17.0,3.1548900604248047
378,25,0.1,27,1.0,8,2,3.0,0.06299018859863281
379,25,0.1,27,1.0,9,19,15.0,3.8363513946533203
380,25,0.1,27,1.5,0,21,15.0,12.748088836669922
381,25,0.1,27,1.5,1,21,18.0,5.165077209472656
382,25,0.1,27,1.5,2,20,11.0,1.484426498413086
383,25,0.1,27,1.5,3,19,16.0,4.523542404174805
384,25,0.1,27,1.5,4,19,12.0,2.32489013671875
385,25,0.1,27,1.5,5,18,14.0,2.9206924438476562
386,25,0.1,27,1.5,6,23,19.0,7.619157791137695
387,25,0.1,27,1.5,7,25,18.0,5.017961502075195
388,25,0.1,27,1.5,8,22,16.0,3.408090591430664
389,25,0.1,27,1.5,9,24,19.0,11.311807632446289
390,25,0.2,30,0.5,0,0,0.0,0.0039958953857421875
391,25,0.2,30,0.5,1,2,1.0,0.04834556579589844
392,25,0.2,30,0.5,2,0,0.0,0.016078948974609375
393,25,0.2,30,0.5,3,4,4.0,0.03058624267578125
394,25,0.2,30,0.5,4,2,2.0,0.04151725769042969
395,25,0.2,30,0.5,5,0,0.0,0.0077381134033203125
396,25,0.2,30,0.5,6,2,2.0,0.046649932861328125
397,25,0.2,30,0.5,7,0,3.0,0.17420387268066406
398,25,0.2,30,0.5,8,0,0.0,0.015331268310546875
399,25,0.2,30,0.5,9,0,0.0,0.016674041748046875
