,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
98,10,15,1,1083,1,708093469,False,,,,,
99,10,15,1,1083,1,708093469,True,,,,,
100,10,15,1,1083,2,1755663524,False,,,,,
101,10,15,1,1083,2,1755663524,True,,,,,
102,10,15,1,1083,1,1755663524,False,,,,,
103,10,15,1,1083,1,1755663524,True,,,,,
104,10,15,1,1083,2,1155653965,False,,,,,
105,10,15,1,1083,2,1155653965,True,,,,,
106,10,15,1,1083,1,1155653965,False,,,,,
107,10,15,1,1083,1,1155653965,True,,,,,
108,10,15,1,1083,2,1799343698,False,,,,,
109,10,15,1,1083,2,1799343698,True,,,,,
110,10,15,1,1083,1,1799343698,False,,,,,
111,10,15,1,1083,1,1799343698,True,,,,,
112,10,15,1,1083,2,1618157079,False,,,,,
113,10,15,1,1083,2,1618157079,True,,,,,
114,10,15,1,1083,1,1618157079,False,,,,,
115,10,15,1,1083,1,1618157079,True,,,,,
116,10,15,1,1083,2,1858836762,False,,,,,
117,10,15,1,1083,2,1858836762,True,,,,,
118,10,15,1,1083,1,1858836762,False,,,,,
119,10,15,1,1083,1,1858836762,True,,,,,
120,10,15,1,4930,2,563313609,False,,,,,
121,10,15,1,4930,2,563313609,True,,,,,
122,10,15,1,4930,1,563313609,False,,,,,
123,10,15,1,4930,1,563313609,True,,,,,
124,10,15,1,4930,2,1078591222,False,,,,,
125,10,15,1,4930,2,1078591222,True,,,,,
126,10,15,1,4930,1,1078591222,False,,,,,
127,10,15,1,4930,1,1078591222,True,,,,,
128,10,15,1,4930,2,436916802,False,,,,,
129,10,15,1,4930,2,436916802,True,,,,,
130,10,15,1,4930,1,436916802,False,,,,,
131,10,15,1,4930,1,436916802,True,,,,,
132,10,15,1,4930,2,1941050026,False,,,,,
133,10,15,1,4930,2,1941050026,True,,,,,
134,10,15,1,4930,1,1941050026,False,,,,,
135,10,15,1,4930,1,1941050026,True,,,,,
136,10,15,1,4930,2,865678546,False,,,,,
137,10,15,1,4930,2,865678546,True,,,,,
138,10,15,1,4930,1,865678546,False,,,,,
139,10,15,1,4930,1,865678546,True,,,,,
140,10,15,1,4930,2,823155374,False,,,,,
141,10,15,1,4930,2,823155374,True,,,,,
142,10,15,1,4930,1,823155374,False,,,,,
143,10,15,1,4930,1,823155374,True,,,,,
144,10,15,1,4930,2,287852352,False,,,,,
145,10,15,1,4930,2,287852352,True,,,,,
146,10,15,1,4930,1,287852352,False,,,,,
147,10,15,1,4930,1,287852352,True,,,,,
148,10,15,1,4930,2,2097889541,False,,,,,
149,10,15,1,4930,2,2097889541,True,,,,,
150,10,15,1,4930,1,2097889541,False,,,,,
151,10,15,1,4930,1,2097889541,True,,,,,
152,10,15,1,4930,2,973879302,False,,,,,
153,10,15,1,4930,2,973879302,True,,,,,
154,10,15,1,4930,1,973879302,False,,,,,
155,10,15,1,4930,1,973879302,True,,,,,
156,10,15,1,4930,2,267191831,False,,,,,
157,10,15,1,4930,2,267191831,True,,,,,
158,10,15,1,4930,1,267191831,False,,,,,
159,10,15,1,4930,1,267191831,True,,,,,
160,10,15,1,2685,2,2065143098,False,,,,,
161,10,15,1,2685,2,2065143098,True,,,,,
162,10,15,1,2685,1,2065143098,False,,,,,
163,10,15,1,2685,1,2065143098,True,,,,,
164,10,15,1,2685,2,1608686208,False,,,,,
165,10,15,1,2685,2,1608686208,True,,,,,
166,10,15,1,2685,1,1608686208,False,,,,,
167,10,15,1,2685,1,1608686208,True,,,,,
168,10,15,1,2685,2,2106117099,False,,,,,
169,10,15,1,2685,2,2106117099,True,,,,,
170,10,15,1,2685,1,2106117099,False,,,,,
171,10,15,1,2685,1,2106117099,True,,,,,
172,10,15,1,2685,2,251122470,False,,,,,
173,10,15,1,2685,2,251122470,True,,,,,
174,10,15,1,2685,1,251122470,False,,,,,
175,10,15,1,2685,1,251122470,True,,,,,
176,10,15,1,2685,2,1041939683,False,,,,,
177,10,15,1,2685,2,1041939683,True,,,,,
178,10,15,1,2685,1,1041939683,False,,,,,
179,10,15,1,2685,1,1041939683,True,,,,,
180,10,15,1,2685,2,1069973051,False,,,,,
181,10,15,1,2685,2,1069973051,True,,,,,
182,10,15,1,2685,1,1069973051,False,,,,,
183,10,15,1,2685,1,1069973051,True,,,,,
184,10,15,1,2685,2,602173222,False,,,,,
185,10,15,1,2685,2,602173222,True,,,,,
186,10,15,1,2685,1,602173222,False,,,,,
187,10,15,1,2685,1,602173222,True,,,,,
188,10,15,1,2685,2,133188514,False,,,,,
189,10,15,1,2685,2,133188514,True,,,,,
190,10,15,1,2685,1,133188514,False,,,,,
191,10,15,1,2685,1,133188514,True,,,,,
192,10,15,1,2685,2,1611395864,False,,,,,
193,10,15,1,2685,2,1611395864,True,,,,,
194,10,15,1,2685,1,1611395864,False,,,,,
195,10,15,1,2685,1,1611395864,True,,,,,
196,10,15,1,2685,2,42568569,False,,,,,
197,10,15,1,2685,2,42568569,True,,,,,
198,10,15,1,2685,1,42568569,False,,,,,
199,10,15,1,2685,1,42568569,True,,,,,
200,10,15,1,20173,2,2082898964,False,,,,,
201,10,15,1,20173,2,2082898964,True,,,,,
202,10,15,1,20173,1,2082898964,False,,,,,
203,10,15,1,20173,1,2082898964,True,,,,,
204,10,15,1,20173,2,692725761,False,,,,,
205,10,15,1,20173,2,692725761,True,,,,,
206,10,15,1,20173,1,692725761,False,,,,,
207,10,15,1,20173,1,692725761,True,,,,,
208,10,15,1,20173,2,344997561,False,,,,,
209,10,15,1,20173,2,344997561,True,,,,,
210,10,15,1,20173,1,344997561,False,,,,,
211,10,15,1,20173,1,344997561,True,,,,,
212,10,15,1,20173,2,1558804748,False,,,,,
213,10,15,1,20173,2,1558804748,True,,,,,
214,10,15,1,20173,1,1558804748,False,,,,,
215,10,15,1,20173,1,1558804748,True,,,,,
216,10,15,1,20173,2,594619332,False,,,,,
217,10,15,1,20173,2,594619332,True,,,,,
218,10,15,1,20173,1,594619332,False,,,,,
219,10,15,1,20173,1,594619332,True,,,,,
220,10,15,1,20173,2,1986274268,False,,,,,
221,10,15,1,20173,2,1986274268,True,,,,,
222,10,15,1,20173,1,1986274268,False,,,,,
223,10,15,1,20173,1,1986274268,True,,,,,
224,10,15,1,20173,2,1162275822,False,,,,,
225,10,15,1,20173,2,1162275822,True,,,,,
226,10,15,1,20173,1,1162275822,False,,,,,
227,10,15,1,20173,1,1162275822,True,,,,,
228,10,15,1,20173,2,629526661,False,,,,,
229,10,15,1,20173,2,629526661,True,,,,,
230,10,15,1,20173,1,629526661,False,,,,,
231,10,15,1,20173,1,629526661,True,,,,,
232,10,15,1,20173,2,1556474546,False,,,,,
233,10,15,1,20173,2,1556474546,True,,,,,
234,10,15,1,20173,1,1556474546,False,,,,,
235,10,15,1,20173,1,1556474546,True,,,,,
236,10,15,1,20173,2,197792239,False,,,,,
237,10,15,1,20173,2,197792239,True,,,,,
238,10,15,1,20173,1,197792239,False,,,,,
239,10,15,1,20173,1,197792239,True,,,,,
240,10,15,1,17680,2,1316414565,False,,,,,
241,10,15,1,17680,2,1316414565,True,,,,,
242,10,15,1,17680,1,1316414565,False,,,,,
243,10,15,1,17680,1,1316414565,True,,,,,
244,10,15,1,17680,2,779217003,False,,,,,
245,10,15,1,17680,2,779217003,True,,,,,
246,10,15,1,17680,1,779217003,False,,,,,
247,10,15,1,17680,1,779217003,True,,,,,
248,10,15,1,17680,2,1667914287,False,,,,,
249,10,15,1,17680,2,1667914287,True,,,,,
250,10,15,1,17680,1,1667914287,False,,,,,
251,10,15,1,17680,1,1667914287,True,,,,,
252,10,15,1,17680,2,978390736,False,,,,,
253,10,15,1,17680,2,978390736,True,,,,,
254,10,15,1,17680,1,978390736,False,,,,,
255,10,15,1,17680,1,978390736,True,,,,,
256,10,15,1,17680,2,1338934054,False,,,,,
257,10,15,1,17680,2,1338934054,True,,,,,
258,10,15,1,17680,1,1338934054,False,,,,,
259,10,15,1,17680,1,1338934054,True,,,,,
260,10,15,1,17680,2,911820706,False,,,,,
261,10,15,1,17680,2,911820706,True,,,,,
262,10,15,1,17680,1,911820706,False,,,,,
263,10,15,1,17680,1,911820706,True,,,,,
264,10,15,1,17680,2,248819508,False,,,,,
265,10,15,1,17680,2,248819508,True,,,,,
266,10,15,1,17680,1,248819508,False,,,,,
267,10,15,1,17680,1,248819508,True,,,,,
268,10,15,1,17680,2,629145196,False,,,,,
269,10,15,1,17680,2,629145196,True,,,,,
270,10,15,1,17680,1,629145196,False,,,,,
271,10,15,1,17680,1,629145196,True,,,,,
272,10,15,1,17680,2,1108248848,False,,,,,
273,10,15,1,17680,2,1108248848,True,,,,,
274,10,15,1,17680,1,1108248848,False,,,,,
275,10,15,1,17680,1,1108248848,True,,,,,
276,10,15,1,17680,2,904342679,False,,,,,
277,10,15,1,17680,2,904342679,True,,,,,
278,10,15,1,17680,1,904342679,False,,,,,
279,10,15,1,17680,1,904342679,True,,,,,
280,10,15,1,33497,2,133894701,False,,,,,
281,10,15,1,33497,2,133894701,True,,,,,
282,10,15,1,33497,1,133894701,False,,,,,
283,10,15,1,33497,1,133894701,True,,,,,
284,10,15,1,33497,2,790444289,False,,,,,
285,10,15,1,33497,2,790444289,True,,,,,
286,10,15,1,33497,1,790444289,False,,,,,
287,10,15,1,33497,1,790444289,True,,,,,
288,10,15,1,33497,2,986416297,False,,,,,
289,10,15,1,33497,2,986416297,True,,,,,
290,10,15,1,33497,1,986416297,False,,,,,
291,10,15,1,33497,1,986416297,True,,,,,
292,10,15,1,33497,2,1872810737,False,,,,,
293,10,15,1,33497,2,1872810737,True,,,,,
294,10,15,1,33497,1,1872810737,False,,,,,
295,10,15,1,33497,1,1872810737,True,,,,,
296,10,15,1,33497,2,1135136799,False,,,,,
297,10,15,1,33497,2,1135136799,True,,,,,
298,10,15,1,33497,1,1135136799,False,,,,,
299,10,15,1,33497,1,1135136799,True,,,,,
300,10,15,1,33497,2,1543026410,False,,,,,
301,10,15,1,33497,2,1543026410,True,,,,,
302,10,15,1,33497,1,1543026410,False,,,,,
303,10,15,1,33497,1,1543026410,True,,,,,
304,10,15,1,33497,2,85025055,False,,,,,
305,10,15,1,33497,2,85025055,True,,,,,
306,10,15,1,33497,1,85025055,False,,,,,
307,10,15,1,33497,1,85025055,True,,,,,
308,10,15,1,33497,2,917647715,False,,,,,
309,10,15,1,33497,2,917647715,True,,,,,
310,10,15,1,33497,1,917647715,False,,,,,
311,10,15,1,33497,1,917647715,True,,,,,
312,10,15,1,33497,2,1969881821,False,,,,,
313,10,15,1,33497,2,1969881821,True,,,,,
314,10,15,1,33497,1,1969881821,False,,,,,
315,10,15,1,33497,1,1969881821,True,,,,,
316,10,15,1,33497,2,1659553369,False,,,,,
317,10,15,1,33497,2,1659553369,True,,,,,
318,10,15,1,33497,1,1659553369,False,,,,,
319,10,15,1,33497,1,1659553369,True,,,,,
